parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade
P12472324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,34500,SEB,NTPC,Parcel B,MV APJ KABIR ANAND,Tj Kampeh,Haldia,340-23-24,Panamax,18500,Indonesia,DIZAMATRA,INDO 4700 GAR,Trader,INDO 4700,DI 4700,DIZAMATRA 4700
P12492324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,SEB,NTPC 2,Parcel B,MV CK BLUEBELL,Tj Kampeh,Haldia,364-23-24,Panamax,19500,Indonesia,DIZAMATRA,INDO 4700 GAR,Trader,INDO 4700,DI 4700,DIZAMATRA 4700
P8222324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,SEB,NTPC,Parcel B,MV SUNRISE,Muara Berau Anchorage,Dahej,400-22-23,Cape,,Indonesia,Alam Jaya,INDO 4700 GAR,Trader,INDO 4700,AJ 4700,AJ 4700
P18782425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80577,APL,APL,Parcel A,MV NBA PEACE,Taboneo Anchorage,Mundra,246-24-25,Cape,25250,Indonesia,BRE,INDO 4100 GAR,Trader,INDO 4100,BR 4100,BRE 4100
P13242425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82494,Stock and Sales,AEL,Parcel A,MV KWK PROVIDENCE,RBCT,Any Port India,059-24-25,Cape,29000,SA,SA Anglo,SA 4500 Min,Miner / Refiner,SA 4500,AN 4500,ANGLO 4500
P18232425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,56350,TC - Direct Customer,SHS,Parcel A,MV AURORA SB,Bunyu Anchorage,China,160-24-25,Supramax,16206,Indonesia,Saka Putra (SPP),INDO 3000 GAR,Miner / Refiner,INDO 3000,SP 3000,SPP 3000
P19922425,Completed At DP,,,00:00.0,00:00.0,00:00.0,77592,Stock and Sales,AEL,Parcel A,MV CL DALIAO HE,Baltimore,Krishnapatnam,169-23-24,Panamax,18000,USA,AS per Remarks,NAPP 6650 NAR Min,Trader,USA 6650,NA 6650,NAPP 6650
P23352425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,47500,Stock and Sales,AEL,Parcel D,MV MINERAL NEW YORK,Muara Sangkulirang,Hazira,413-24-25,Cape,21359,Indonesia,GAM,INDO 3400 GAR,Miner / Refiner,INDO 3400,GA 3400,GAM 3400
P21042425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB 2,NTPC 2,Parcel A,MV GOLDEN BEIJING,Muara Pantai,SANDHEADS,404-23-24,Cape,20000,Indonesia,Berau,INDO 4800 GAR,Miner / Refiner,INDO 4800,BE 4800,BERAU 4800
P16652425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82266,Stock and Sales,AEL,Parcel B,MV BALTIMORE,RBCT,Gangavaram,109-24-25,Cape,36000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,
P25502425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,85000,APL,APL,Parcel B,MV GH LEVECHE,TBCT,Mundra,551-24-25,Cape,,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700
P10352324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,41886,Stock and Sales,AEL,Parcel A,MV PANAMANIAN,Kaliorang Anch,Any Port India,174-23-24,Panamax,10783,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200
P7892324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,68700,TC - Direct Customer,HUIHUANG,Parcel A,MV XIN DONG GUAN 14,Bunyu Anchorage,China,367-22-23,Panamax,14000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000
P7052223,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,73942,Stock and Sales,AEL,Parcel B,MV SEALINK,RBCT,Dhamra,329-22-23,Cape,20000,SA,SA Glencore,SA 4600 Min,Miner / Refiner,SA 4600,GI 4600,GIAG 4600
P22182425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV CAPTAIN LEONIDAS,TBCT,Mundra,358-24-25,Cape,31500,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700
P19142425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60000,Stock and Sales,AEL,Parcel A,MV TRUONG MINH PROSPERITY,Meulaboh,Hazira,266-24-25,Supramax,19397,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400
P26982526,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,67700,TC - Direct Customer,YUEHE,Parcel A,MV CHANG YANG JIN SHA,Tarakan Anch,China,047-25-26,Panamax,11000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800
P11442324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82067,APL,UDUPI POWER,Parcel A,MV XIN HUAN HAI,Muara Pantai,New Mangalore,318-23-24,Panamax,19250,Indonesia,Berau,INDO 5300 GAR,Trader,INDO 5300,BE 5300,BERAU 5300
P24802425,Completed At DP,00:00.0,00:00.0,,,00:00.0,74375,APL,APL,Parcel A,MV HARRIET P,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,497-24-25,Panamax,13750,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500
P14042425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71780,APL,UDUPI POWER,Parcel A,MV LUCKY ALISA,Muara Pantai,New Mangalore,439-23-24,Panamax,21000,Indonesia,Berau,INDO 5000 GAR,Trader,INDO 5000,BE 5000,BERAU 5000
P17912425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,81430,APL,APL,Parcel B,MV OJAS,TBCT,Mundra,143-23-24,Cape,19000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700
P23532425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,TC - Direct Customer,QJD,Parcel A,MV TAN ZHOU LUN,Muara Pantai,China,459-22-23,Supramax,,Indonesia,ATM,INDO 3800 GAR,Miner / Refiner,INDO 3800,AT 3800,ATM 3800
P15692425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV VIDYUT,TBCT,Mundra,542-23-24,Cape,18000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700
P22422425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV MARAN CONQUEROR,Adang Bay,Mundra,405-24-25,Cape,20682,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200
