id,created_at,updated_at,serialNo,batch,vesselName,loadPort,vesselSailingDate,blDate,quantity,netBl,tmVariationQty,baseUnitOfMeasure,plant,dischargePort,customerName,vessArrivalDt,norTenderedDate,norAcceptedDate,dischargeCommensementDate,dischargeCompletionDate,daysTaken,demurrageRate,arrivalPort,arrPortDesc,expectedArrivalDat,loadPortName,customsOutOfCharg,fullDetailOcc,edrmPermissionLett,materialCode,dischargeRate,settleUnsettle,settleUnsettleStatus,layDateToStart,laytimeToCompleteAsPerAgreedDiscR,tentativeLaytimeCalculationTime,tentatvLaytimeRate,qtyHeader,countryId,countryName,uniqueVesselId,customerNo,compositeKey,vesselArrivelTime,time,startTime,dischargeCommensementTime,dischargeCompletionTime,norAcceptedTime,norTenderedTime,layTimeToStart,endTime,actualLaytime,berthingTime,deductionPeriod
a18218cd-a97c-4dcf-9d89-000350c65f39,51:29.0,34:36.9,1,I202122125,MV CHRISTINA J,0,00:00.0,00:00.0,56150,56150,0,MTS,5206,AEL-NAVLAKHI-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,11,38000,5206,AEL-NAVLAKHI-EXBOND,00:00.0,,,,,S20010105,0,,,00:00.0,0,-9.55,-362900,56150,,,1000004759,113025,1|I202122125|1000004759,16:08:00,16:00:00,00:00:00,17:45:00,07:00:00,00:00:00,15:00:00,17:45:00,00:00:00,00:00:00,00:00:00,00:00:00
b7d059fa-227f-43ce-bc34-0005ee1140e4,51:29.0,34:36.9,1,I202223224,MV GOLDEN MAGNUM,4,00:00.0,00:00.0,99500,99500,0,MTS,5203,AEL-DAHEJ-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,13,18000,5203,AEL-DAHEJ-EXBOND,00:00.0,SAMARINDA ANCHORAGE,,,,S20010105,30000,1,Settled,00:00.0,3.32,-2.49,-44879.4,99500,ID,INDONESIA,1000005580,113025,1|I202223224|1000005580,12:00:00,15:00:00,00:00:00,07:40:00,03:00:00,00:00:00,12:00:00,07:40:00,00:00:00,00:00:00,00:00:00,00:00:00
718b1bc6-9807-4707-bcfa-00060e2b66b6,51:29.0,34:36.9,1,S202324107,MV DARYA JAYA,0,00:00.0,00:00.0,63000,63000,0,MTS,5227,AEL-THOOTHUKUDI-EXBOND,NLC TAMILNADU POWER LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,8,0,5227,AEL-THOOTHUKUDI-EXBOND,00:00.0,,,,,S20010113,0,,,,0,-738876.56,0,63000,,,1000006605,115772,1|S202324107|1000006605,05:48:00,07:42:00,00:00:00,06:00:00,13:30:00,00:00:00,05:48:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2c419228-fec0-4b9d-8b84-0009d4c5b59d,51:29.0,34:36.9,2,I202324628,MV MARAN VICTORY,16,00:00.0,00:00.0,16000,16000,0,MTS,5213,AEL-VISAKHAPATNAM-EXBOND,SHRI BAJRANG POWER AND ISPAT LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,2,34000,5213,AEL-VISAKHAPATNAM-EXBOND,00:00.0,RICHARDS BAY COAL TERMINAL,,,,S20010105,0,1,Settled,00:00.0,0,-31.1,-1057400,63000,ZA,SOUTH AFRICA,1000006784,109063,2|I202324628|1000006784,01:45:00,06:45:00,00:00:00,08:45:00,08:30:00,00:00:00,01:45:00,13:45:00,00:00:00,00:00:00,00:00:00,15:55:00
89b11e1a-3138-4e16-8db7-003f7f84ad56,51:29.0,34:36.9,6,I202223096,MV ANGEL II,6,00:00.0,00:00.0,40000,40000,0,MTS,5224,AEL-GANGAVARAM-EXBOND,NTPC LTD,00:00.0,00:00.0,,00:00.0,00:00.0,14,26500,5224,AEL-GANGAVARAM-EXBOND,00:00.0,"MUARA PANTAI ANCHORAGE, BERAU REGENCY",,,,S20010105,35000,,,00:00.0,4.71,-0.52,-13666.05,165000,ID,INDONESIA,1000005238,17692,6|I202223096|1000005238,08:22:00,19:24:00,00:00:00,23:00:00,04:30:00,00:00:00,09:06:00,23:00:00,00:00:00,00:00:00,00:00:00,00:00:00
40f5d137-ab14-4cd1-97f0-004f593664df,51:29.0,34:36.9,1,H202223109,MV YASA FORTUNE,0,,00:00.0,3000,3000,0,MTS,5231,AEL-KRISHNAPATNAM-EXBOND,SLR METALIKS LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,6,0,5231,AEL-KRISHNAPATNAM-EXBOND,00:00.0,,,,,S20010109,0,,,00:00.0,0,-4.13,0,31220,,,1000005931,116160,1|H202223109|1000005931,08:35:00,03:55:00,00:00:00,09:30:00,12:30:00,00:00:00,08:35:00,09:30:00,00:00:00,00:00:00,00:00:00,00:00:00
d1ecb503-9d80-4269-9878-006391f44c79,51:29.0,34:36.9,1,I202021369,MV GREAT SPRING,0,00:00.0,00:00.0,60500,60500,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,2,26000,,,00:00.0,,,,,S20010105,0,,,00:00.0,0,-2.13,-55380,60500,,,1000004651,113025,1|I202021369|1000004651,10:00:00,08:00:00,00:00:00,14:48:00,18:00:00,00:00:00,10:00:00,14:48:00,00:00:00,00:00:00,00:00:00,00:00:00
24eebc6e-6de6-42cc-8ae9-007b8ac72567,51:29.0,34:36.9,1,I202324088,MV SERENE SKY,4,00:00.0,00:00.0,29115,0,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,3,13500,5234,AEL-HAZIRA-EXBOND,00:00.0,SAMARINDA ANCHORAGE,,,,S20010105,25000,1,Settled,00:00.0,1.16,0.53,3608.55,29115,ID,INDONESIA,1000006143,113025,1|I202324088|1000006143,05:30:00,00:42:00,00:00:00,05:24:00,06:12:00,00:00:00,05:30:00,05:24:00,00:00:00,00:00:00,00:00:00,09:24:00
79ac070a-fe19-47f6-b0dd-0090595a4d6b,51:29.0,34:36.9,1,I202021338,MV AQUAENNA,0,00:00.0,00:00.0,87750,87750,0,MTS,5234,AEL-HAZIRA-EXBOND,AEL STOCK & SELL (YTT),00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,5,10500,,,00:00.0,,,,,S20010105,0,,,00:00.0,0,-2.92,-30660,87750,,,1000004620,113025,1|I202021338|1000004620,19:36:00,00:42:00,00:00:00,22:18:00,20:18:00,00:00:00,19:36:00,22:18:00,00:00:00,00:00:00,00:00:00,00:00:00
87d127b2-ad19-4ebf-a50b-00c55aaa2c16,51:29.0,34:36.9,1,H202425016,MV XIN TANG SHAN HAI 1,0,,00:00.0,37092,37092,0,MTS,5226,AEL-KARAIKAL-EXBOND,THE INDIA CEMENTS LTD,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,5,0,5226,AEL-KARAIKAL-EXBOND,00:00.0,,,,,S20010109,0,,,00:00.0,0,-1.88,0,37092,,,1000006923,15171,1|H202425016|1000006923,22:42:00,07:18:00,00:00:00,09:00:00,06:00:00,00:00:00,22:42:00,09:00:00,00:00:00,00:00:00,00:00:00,00:00:00
